breach_type,data_exposed,records_affected,compensation_amount,case_type,jurisdiction,time_since_breach,user_impact_level,documents_available,proof_strength,prior_claims,location_match,severity_score,deadline_remaining_days,legal_complexity_score,similarity_to_past_cases,eligibility_label,success_probability
healthcare,password,1251632,982,settement,India,163,high,2,medium,0,1,26.0,169,9,0.05,1,0.6641
tech,credit_card,1499339,2430,lawsuit,US,361,high,4,medium,1,1,57.0,134,2,0.2,1,0.5378
retail,SSN,3490429,5096,breach,EU,86,high,0,high,0,1,67.0,5,9,0.33,2,0.4446
retail,password,9972822,9554,breach,India,355,medium,3,medium,0,1,69.0,81,2,0.04,0,0.0
tech,password,1417953,9617,breach,EU,106,medium,1,medium,0,1,27.0,10,7,0.38,0,0.0
healthcare,email,5404252,6103,settement,EU,46,medium,4,low,0,1,47.0,146,7,0.74,0,0.0
tech,password,6517616,1296,lawsuit,EU,275,high,1,high,0,1,52.0,98,4,0.4,1,0.5253
healthcare,email,2162088,4857,breach,US,262,medium,5,low,0,1,30.0,41,8,0.62,0,0.0
healthcare,email,2128599,8740,lawsuit,US,240,low,2,low,0,1,30.0,96,9,0.44,0,0.0
tech,password,415994,7275,lawsuit,India,57,low,3,low,0,0,22.0,156,5,0.19,0,0.0
healthcare,email,2368555,3956,breach,EU,176,high,4,medium,0,1,31.0,67,2,0.04,1,0.5539
tech,email,4106223,1371,settement,EU,221,medium,3,medium,0,1,40.0,56,10,0.39,0,0.0
retail,email,4833691,1251,settement,US,206,medium,3,medium,0,0,44.0,12,3,0.99,0,0.0
healthcare,password,9867460,7068,lawsuit,US,33,high,4,high,0,0,69.0,46,1,0.36,1,0.6219
tech,password,9178376,3406,breach,India,189,low,5,low,1,1,65.0,177,8,0.28,0,0.0
finance,credit_card,4882909,9269,lawsuit,EU,354,medium,4,medium,0,1,74.0,3,9,0.85,1,0.7351
retail,password,6354385,608,breach,India,15,medium,2,high,0,1,51.0,174,9,0.64,0,0.0
healthcare,email,2594726,8567,breach,US,48,high,0,low,0,1,32.0,124,5,0.29,1,0.5307
healthcare,SSN,3802250,758,settement,EU,244,high,2,medium,0,1,69.0,110,8,0.14,2,0.5867
healthcare,email,2823136,7705,lawsuit,US,156,low,0,medium,0,1,34.0,15,2,0.98,0,0.0
tech,credit_card,2802445,6746,breach,India,313,high,4,medium,0,0,64.0,163,5,0.54,2,0.4945
retail,email,4903444,5670,lawsuit,India,122,high,2,high,0,1,44.0,157,8,0.23,1,0.4054
tech,password,4397650,5413,settement,US,48,high,5,low,0,1,41.0,153,3,0.78,1,0.4802
retail,password,7247813,1959,lawsuit,US,126,low,5,low,1,1,56.0,148,10,0.83,0,0.0
tech,email,8641145,1092,lawsuit,US,344,medium,1,high,0,1,63.0,15,3,0.3,0,0.0
finance,credit_card,7602723,3939,breach,India,165,medium,4,low,0,1,88.0,175,8,0.32,2,0.3444
retail,credit_card,1552330,7296,settement,US,360,high,5,medium,1,0,57.0,9,10,0.84,1,0.531
finance,credit_card,5630481,1232,settement,EU,283,low,3,low,0,1,78.0,98,10,0.35,1,0.5409
retail,SSN,8483626,6342,breach,US,134,low,4,medium,0,1,92.0,169,9,0.13,2,0.6654
retail,email,9861786,8762,breach,EU,8,high,0,low,0,0,69.0,7,2,0.31,1,0.4172
retail,SSN,8922334,7102,lawsuit,US,26,medium,0,low,1,1,94.0,74,3,0.73,2,0.5287
retail,email,182360,7851,breach,EU,119,high,3,medium,0,1,20.0,14,5,0.41,1,0.5527
healthcare,email,4383794,4336,settement,EU,123,medium,2,low,1,1,41.0,113,2,0.97,0,0.0
retail,email,9357169,4334,settement,EU,332,high,3,high,1,0,66.0,139,6,0.24,1,0.5241
retail,SSN,1550420,2885,breach,India,158,low,1,medium,1,1,57.0,22,4,0.66,0,0.0
healthcare,credit_card,5430219,3605,breach,India,353,high,3,low,1,1,77.0,20,7,0.91,2,0.4701
healthcare,credit_card,8337900,8950,settement,India,24,high,5,low,0,1,91.0,41,6,0.18,2,0.5084
retail,credit_card,8571556,4387,lawsuit,India,354,high,0,high,0,0,92.0,2,10,0.07,2,0.2466
healthcare,SSN,1981290,4670,breach,EU,26,low,0,medium,0,0,59.0,63,3,0.39,0,0.0
retail,password,1769967,1937,lawsuit,EU,313,high,2,low,0,1,28.0,26,7,0.77,1,0.4447
retail,credit_card,4269173,3203,breach,India,280,medium,1,low,0,1,71.0,108,9,0.32,1,0.4801
retail,SSN,7910699,1396,settement,EU,172,medium,3,high,0,1,89.0,158,5,0.36,2,0.7588
tech,email,8334648,8082,lawsuit,India,270,medium,1,medium,1,1,61.0,49,4,0.01,0,0.0
healthcare,SSN,7371683,3042,settement,EU,175,low,0,medium,0,1,86.0,43,7,0.6,2,0.6541
healthcare,email,6913880,6728,lawsuit,India,39,medium,4,high,0,1,54.0,144,8,0.77,0,0.0
retail,password,8013369,407,breach,India,150,low,1,medium,0,0,60.0,42,9,0.51,0,0.0
tech,SSN,5796250,4220,lawsuit,EU,258,low,3,medium,0,0,78.0,85,9,0.37,1,0.5283
finance,credit_card,7520817,6317,lawsuit,EU,60,medium,3,high,0,1,87.0,91,6,0.63,2,0.8458
healthcare,SSN,1539112,9841,settement,US,197,high,2,low,0,1,57.0,30,4,0.46,1,0.554
healthcare,credit_card,9806436,6134,settement,US,227,high,1,low,0,1,99.0,150,2,0.27,2,0.4438
healthcare,SSN,6217538,8852,lawsuit,EU,149,high,0,high,0,1,81.0,165,7,0.27,2,0.4557
finance,SSN,4118923,3523,settement,India,208,high,2,medium,0,1,70.0,33,6,0.63,2,0.6443
retail,SSN,1669321,5585,breach,India,278,low,4,low,1,1,58.0,76,9,0.65,0,0.0
tech,credit_card,2858281,6609,breach,EU,330,medium,4,medium,0,0,64.0,99,6,0.74,1,0.5833
retail,email,7941879,2091,lawsuit,India,244,high,4,high,0,1,59.0,140,6,0.18,1,0.7941
tech,SSN,2893478,7452,settement,US,218,low,3,high,0,1,64.0,1,5,0.77,1,0.8027
tech,SSN,6551091,4778,breach,India,358,high,2,low,1,1,82.0,59,5,0.77,2,0.4337
retail,email,2379907,7481,lawsuit,India,20,low,0,high,0,1,31.0,169,8,0.32,0,0.0
tech,credit_card,5969633,283,lawsuit,US,271,low,1,low,0,0,79.0,78,9,0.22,1,0.2631
tech,SSN,9634233,4299,breach,EU,364,low,2,medium,0,1,98.0,153,9,0.89,1,0.7381
retail,SSN,8942047,1889,breach,US,219,high,3,medium,0,1,94.0,134,4,0.88,2,0.8074
tech,SSN,8384190,8545,breach,EU,24,medium,3,high,1,1,91.0,133,2,0.2,2,0.7022
retail,SSN,5846447,7001,breach,US,337,medium,5,medium,0,0,79.0,161,1,0.25,1,0.5326
retail,SSN,126438,7509,breach,India,117,high,5,low,0,1,50.0,13,6,0.47,1,0.4192
tech,password,6031489,6574,lawsuit,EU,205,low,1,medium,0,1,50.0,107,6,0.41,0,0.0
tech,password,2079808,564,settement,US,22,low,3,low,0,1,30.0,28,10,0.22,0,0.0
tech,email,4328308,4991,settement,US,317,low,0,low,0,1,41.0,41,6,0.41,0,0.0
tech,SSN,30725,3744,settement,India,360,medium,5,high,0,1,50.0,17,3,0.91,0,0.0
finance,email,2798921,8195,lawsuit,EU,142,low,2,medium,0,0,33.0,32,5,0.2,0,0.0
retail,email,425226,8299,lawsuit,US,214,high,0,medium,0,1,22.0,46,10,0.97,1,0.7537
retail,credit_card,9545691,4721,lawsuit,India,281,high,5,low,1,1,97.0,126,1,0.95,2,0.5365
healthcare,credit_card,5277728,2572,lawsuit,US,284,low,0,high,0,1,76.0,35,3,0.38,1,0.4709
healthcare,password,7457688,286,settement,US,321,high,5,high,0,1,57.0,44,4,0.93,1,0.8419
retail,credit_card,3896958,4127,breach,India,115,high,1,low,0,1,69.0,134,5,0.42,2,0.543
tech,credit_card,5838196,3362,settement,EU,350,high,2,low,0,0,79.0,80,6,0.71,2,0.4237
healthcare,email,8827233,4720,breach,EU,201,high,3,medium,1,1,64.0,143,8,0.95,1,0.6091
tech,SSN,2871574,8579,breach,US,143,high,2,medium,0,1,64.0,117,7,0.17,2,0.5391
retail,credit_card,338913,3891,breach,EU,215,high,4,high,0,1,51.0,113,5,0.38,1,0.772
healthcare,password,873328,825,lawsuit,India,177,high,5,medium,0,1,24.0,70,2,0.75,1,0.7315
tech,email,9784893,1973,breach,India,268,low,4,low,0,1,68.0,130,10,0.34,0,0.0
finance,email,5899885,6147,lawsuit,India,313,high,3,high,0,1,49.0,101,5,0.61,1,0.7281
finance,credit_card,4364089,9990,settement,US,228,medium,1,high,1,0,71.0,22,6,0.04,1,0.1125
retail,SSN,3879363,8405,breach,US,186,high,4,medium,1,1,69.0,39,10,0.63,2,0.6667
finance,credit_card,7090478,7136,lawsuit,US,331,medium,4,medium,0,1,85.0,48,9,0.92,1,0.7256
healthcare,email,2539143,2886,settement,India,41,medium,2,medium,0,1,32.0,12,3,0.33,0,0.0
retail,credit_card,8693832,2949,lawsuit,EU,284,high,3,high,0,0,93.0,23,8,0.2,2,0.6204
finance,password,3843411,3550,breach,US,114,medium,4,medium,0,1,39.0,30,9,0.49,0,0.0
healthcare,credit_card,6891709,3454,settement,EU,10,high,4,high,0,1,84.0,40,10,0.64,2,0.7797
tech,email,6527925,6109,breach,India,158,low,1,medium,0,1,52.0,39,2,0.03,0,0.0
tech,password,6049055,4109,lawsuit,US,151,low,3,low,1,1,50.0,141,3,0.57,0,0.0
healthcare,credit_card,6050531,9320,lawsuit,India,287,medium,1,medium,0,1,80.0,120,3,0.16,1,0.5592
retail,SSN,2637722,8235,breach,India,296,low,4,low,0,1,63.0,92,6,0.54,1,0.6247
finance,email,238199,4624,settement,US,105,low,2,low,0,0,21.0,63,1,0.45,0,0.0
tech,credit_card,5652944,8139,breach,US,231,high,5,low,0,1,78.0,48,3,0.85,2,0.5468
retail,credit_card,6271016,2248,lawsuit,EU,299,low,4,high,1,1,81.0,121,1,0.12,1,0.6185
retail,credit_card,8945718,1393,lawsuit,EU,156,medium,2,high,0,1,94.0,5,9,0.24,2,0.5067
tech,email,9547263,5264,settement,EU,224,low,3,low,0,1,67.0,123,1,0.76,0,0.0
healthcare,password,9062826,6722,lawsuit,EU,42,high,3,high,0,0,65.0,9,8,0.36,1,0.6996
tech,credit_card,4021120,1548,settement,India,337,high,2,medium,1,0,70.0,130,6,0.56,2,0.5063
tech,password,2727016,1618,settement,EU,74,low,4,high,0,0,33.0,108,3,0.27,0,0.0
finance,password,2165412,8133,lawsuit,EU,164,medium,4,low,0,1,30.0,172,5,0.74,0,0.0
finance,credit_card,4747771,7132,lawsuit,US,338,medium,4,medium,0,0,73.0,144,1,0.47,1,0.4809
retail,email,1229807,1022,breach,US,327,low,4,low,0,0,26.0,20,10,0.61,0,0.0
healthcare,email,7468866,3924,settement,India,19,high,3,high,1,0,57.0,113,2,0.03,1,0.4924
finance,SSN,9423794,9479,breach,India,191,low,4,low,1,1,97.0,132,9,0.7,1,0.431
healthcare,password,8310411,6331,lawsuit,EU,249,low,1,high,0,0,61.0,176,3,0.42,0,0.0
finance,password,1165795,7312,settement,EU,356,low,0,medium,0,0,25.0,48,7,0.33,0,0.0
finance,SSN,8545291,5067,settement,EU,289,medium,2,high,0,1,92.0,123,9,0.73,1,0.6062
retail,credit_card,4108834,1674,lawsuit,EU,187,high,3,medium,0,1,70.0,45,2,0.8,2,0.7885
finance,SSN,8418944,6899,settement,US,176,high,4,low,0,1,92.0,96,4,0.38,2,0.4831
tech,SSN,1405355,8744,lawsuit,EU,66,medium,2,medium,0,0,57.0,67,7,0.18,0,0.0
tech,email,7324988,252,breach,EU,139,low,1,low,0,1,56.0,68,3,0.3,0,0.0
tech,password,4823139,2943,settement,EU,111,low,4,high,0,1,44.0,129,4,0.73,0,0.0
healthcare,email,4339843,2509,settement,India,325,high,5,low,0,1,41.0,30,2,0.17,1,0.3927
retail,password,6315768,7391,settement,India,136,medium,4,high,0,1,51.0,45,4,0.46,0,0.0
retail,credit_card,6593910,9575,lawsuit,EU,89,medium,0,low,1,1,82.0,145,8,0.47,2,0.4271
healthcare,credit_card,3071771,3025,breach,India,350,high,5,high,0,0,65.0,52,4,0.72,2,0.7144
tech,credit_card,6418954,5313,settement,EU,323,low,1,medium,0,0,82.0,174,3,0.42,1,0.5274
retail,credit_card,9591446,9118,settement,EU,53,high,0,low,0,1,97.0,95,4,0.44,2,0.4159
healthcare,email,3453501,5267,lawsuit,India,273,high,0,high,0,1,37.0,133,3,0.14,1,0.3628
tech,credit_card,6270324,8499,settement,US,39,low,1,high,0,1,81.0,165,9,0.2,2,0.391
tech,SSN,807564,2117,settement,EU,234,high,5,low,0,1,54.0,130,4,0.87,1,0.5675
tech,email,9852044,2482,lawsuit,EU,161,low,3,low,0,1,69.0,47,1,0.29,0,0.0
healthcare,credit_card,6035722,2540,settement,US,270,low,1,high,1,1,80.0,8,7,0.75,1,0.5629
finance,email,1990968,7774,settement,EU,288,low,0,medium,1,1,29.0,111,6,0.12,0,0.0
retail,password,765265,8054,lawsuit,EU,9,medium,4,medium,0,1,23.0,89,5,0.09,0,0.0
finance,credit_card,7403324,6051,settement,EU,113,low,3,low,0,1,87.0,171,9,0.38,2,0.5521
tech,password,5860046,8601,settement,India,84,high,2,medium,0,1,49.0,145,10,0.19,1,0.6066
finance,email,7992208,7570,breach,India,66,low,0,low,1,0,59.0,78,7,0.63,0,0.0
retail,SSN,539645,3892,settement,US,315,medium,5,medium,0,0,52.0,159,5,0.92,0,0.0
retail,credit_card,7090975,6221,lawsuit,US,233,low,0,high,0,1,85.0,73,5,0.7,1,0.4781
retail,credit_card,6652143,8991,lawsuit,India,288,high,5,low,1,1,83.0,120,3,0.23,2,0.3955
retail,SSN,1004171,9356,breach,EU,310,low,4,medium,0,1,55.0,49,5,0.11,0,0.0
retail,password,1964571,7837,lawsuit,India,304,high,3,low,0,1,29.0,73,1,0.25,1,0.4786
tech,credit_card,2662637,787,lawsuit,US,257,low,3,medium,0,0,63.0,62,2,0.37,1,0.5241
healthcare,email,1520603,1729,lawsuit,US,219,low,1,medium,0,1,27.0,7,7,0.05,0,0.0
retail,email,3803986,8899,settement,EU,128,low,4,medium,0,1,39.0,91,8,0.25,0,0.0
tech,password,9726529,3800,settement,India,6,high,3,medium,0,1,68.0,102,10,0.34,1,0.6297
tech,password,6675851,1217,lawsuit,India,176,medium,3,medium,0,1,53.0,175,5,0.31,0,0.0
retail,password,4501398,8785,lawsuit,EU,113,high,1,high,0,0,42.0,52,5,0.7,1,0.4161
healthcare,email,6607963,3932,settement,India,187,low,2,low,0,1,53.0,125,3,0.89,0,0.0
tech,credit_card,2166251,8243,settement,EU,232,high,5,medium,1,1,60.0,97,8,0.21,1,0.5756
tech,password,3215850,1800,lawsuit,EU,170,low,3,high,0,1,36.0,38,7,0.86,0,0.0
healthcare,credit_card,7095176,961,lawsuit,EU,128,high,1,medium,0,0,85.0,80,7,0.23,2,0.608
healthcare,SSN,4451252,4068,breach,India,272,high,5,low,0,1,72.0,144,9,0.45,2,0.4755
retail,SSN,4415473,1842,settement,India,213,medium,3,high,0,0,72.0,78,5,0.2,1,0.6211
tech,email,78175,1357,settement,EU,321,medium,1,medium,0,1,20.0,99,1,0.27,0,0.0
retail,credit_card,7289538,2168,settement,EU,135,low,2,low,0,1,86.0,73,4,0.26,2,0.4121
retail,password,3106958,4416,lawsuit,EU,198,high,3,high,0,1,35.0,22,1,0.04,1,0.7606
healthcare,password,8553442,5850,settement,US,216,medium,0,low,0,1,62.0,108,7,0.46,0,0.0
tech,credit_card,9989400,102,lawsuit,EU,34,high,4,medium,0,0,99.0,175,1,0.26,2,0.4701
finance,email,5182057,9682,settement,India,199,low,1,high,0,0,45.0,129,4,0.96,0,0.0
finance,credit_card,5338355,4976,lawsuit,US,66,low,4,medium,0,0,76.0,2,3,0.37,2,0.5535
finance,password,979836,5383,breach,US,273,low,3,medium,0,1,24.0,48,9,0.57,0,0.0
tech,email,1961155,9832,settement,India,31,high,4,medium,0,0,29.0,78,7,0.07,1,0.4822
healthcare,credit_card,5302533,2966,breach,EU,90,low,5,medium,0,1,76.0,1,7,0.12,2,0.5767
tech,email,985156,6892,lawsuit,India,190,low,0,low,0,1,24.0,42,4,0.52,0,0.0
healthcare,credit_card,5088692,7578,lawsuit,India,209,high,0,high,0,1,75.0,67,1,0.41,2,0.5148
finance,password,2703994,6363,settement,EU,26,medium,3,low,1,1,33.0,44,4,0.82,0,0.0
retail,email,372616,5810,breach,US,190,low,0,low,0,1,21.0,81,2,0.96,0,0.0
finance,password,2893371,9096,lawsuit,India,94,high,3,medium,0,1,34.0,20,9,0.44,1,0.6268
finance,password,4438610,5027,lawsuit,US,19,high,5,medium,0,0,42.0,132,3,0.16,1,0.4672
retail,email,6417438,5910,settement,EU,182,high,5,high,0,0,52.0,137,9,0.75,1,0.7064
retail,SSN,9882901,2279,lawsuit,India,259,high,1,low,0,1,99.0,125,7,0.16,2,0.4102
healthcare,SSN,2832569,6583,breach,EU,23,medium,4,medium,0,1,64.0,164,10,0.11,2,0.532
healthcare,credit_card,2234706,9140,lawsuit,EU,299,medium,5,high,0,1,61.0,45,10,0.08,1,0.6474
finance,password,9687427,5026,settement,US,193,medium,0,medium,0,1,68.0,96,9,0.36,0,0.0
tech,password,7575587,1955,settement,India,214,high,1,medium,0,1,57.0,18,5,0.59,1,0.6121
healthcare,password,1034316,2954,settement,India,333,low,5,high,0,0,25.0,49,9,0.17,0,0.0
healthcare,credit_card,9725700,1351,breach,India,138,low,2,low,0,1,98.0,155,1,0.5,2,0.5361
retail,SSN,5235259,6464,settement,EU,105,high,2,low,1,1,76.0,7,5,0.6,2,0.4072
finance,password,2605884,2498,breach,EU,197,medium,0,medium,0,1,33.0,167,8,0.78,0,0.0
finance,credit_card,6899046,7855,breach,US,241,high,4,medium,1,1,84.0,144,8,0.31,2,0.5631
retail,password,5681820,6297,settement,EU,313,high,3,high,1,1,48.0,37,6,0.36,1,0.6077
finance,email,7134456,8102,lawsuit,US,123,low,2,low,0,1,55.0,74,9,0.5,0,0.0
retail,SSN,6003296,8958,lawsuit,EU,289,high,1,low,0,0,80.0,167,10,0.92,2,0.4877
retail,credit_card,4699713,4288,settement,EU,20,high,2,low,0,1,73.0,72,4,0.05,2,0.3353
tech,credit_card,3924227,7619,settement,US,240,high,5,medium,0,0,69.0,2,10,0.81,2,0.6133
retail,credit_card,8986826,2088,settement,India,234,high,1,medium,0,1,94.0,163,5,0.17,2,0.5494
tech,password,2677517,3004,breach,US,46,medium,1,high,0,1,33.0,34,9,0.66,0,0.0
retail,SSN,5802038,2951,lawsuit,India,271,high,1,medium,0,1,79.0,43,10,0.15,2,0.6175
healthcare,SSN,6740013,9863,settement,EU,232,low,1,high,0,1,83.0,136,9,0.03,1,0.4192
retail,SSN,1056675,9380,lawsuit,US,105,medium,1,high,0,1,55.0,54,6,0.45,0,0.0
healthcare,SSN,8044846,4835,settement,EU,203,low,3,high,1,1,90.0,47,4,0.15,1,0.6386
healthcare,SSN,2947862,670,lawsuit,India,149,low,4,medium,0,0,64.0,125,10,0.06,2,0.3731
finance,SSN,3542483,2704,settement,India,331,high,3,high,0,1,67.0,71,2,0.99,2,0.9854
retail,credit_card,9694374,3816,breach,India,56,high,3,medium,0,0,98.0,30,8,0.72,2,0.6243
retail,password,4279384,9865,settement,India,79,low,3,medium,1,1,41.0,97,3,0.47,0,0.0
finance,credit_card,2218181,2093,breach,India,175,low,5,high,0,1,61.0,81,2,0.75,2,0.8451
healthcare,email,9339770,6304,settement,US,209,low,3,low,0,0,66.0,145,10,0.8,0,0.0
tech,credit_card,1599099,9703,lawsuit,US,186,high,0,low,0,0,57.0,154,3,0.85,1,0.5003
retail,SSN,1207861,5620,settement,EU,21,low,1,high,1,1,56.0,167,9,0.56,0,0.0
tech,credit_card,4429690,4029,settement,US,330,low,0,medium,0,1,72.0,34,9,0.23,1,0.6009
finance,SSN,7027492,7482,settement,EU,186,low,2,low,0,1,85.0,164,6,0.23,1,0.4265
retail,password,9887226,9921,lawsuit,US,101,medium,0,low,0,1,69.0,60,1,0.32,0,0.0
finance,password,5478093,8158,lawsuit,India,53,medium,1,high,0,1,47.0,14,6,0.48,0,0.0
finance,password,7466106,5984,lawsuit,US,326,high,5,medium,0,0,57.0,37,2,0.48,1,0.5512
tech,password,2445026,5728,lawsuit,India,86,high,0,low,0,0,32.0,45,4,0.25,1,0.3151
healthcare,credit_card,5131076,6526,breach,EU,168,low,4,high,1,1,75.0,137,1,0.49,2,0.6808
tech,password,6222714,5488,lawsuit,India,105,high,5,high,0,0,51.0,84,10,0.35,1,0.6292
healthcare,credit_card,6933667,1687,lawsuit,India,345,high,5,low,0,1,84.0,149,6,0.47,2,0.5262
finance,SSN,3441866,1019,lawsuit,EU,324,medium,0,medium,0,1,67.0,75,5,0.56,1,0.5512
finance,email,6759699,9690,settement,EU,23,high,5,low,0,1,53.0,70,2,0.87,1,0.5755
finance,SSN,8330442,7527,settement,EU,120,medium,2,high,0,1,91.0,58,9,0.93,2,0.5837
retail,credit_card,5948148,8736,lawsuit,US,239,low,3,medium,0,1,79.0,100,2,0.65,1,0.6632
finance,credit_card,7881317,7886,breach,US,197,medium,4,high,0,1,89.0,14,8,0.84,1,0.8914
finance,SSN,5906950,4004,breach,US,230,high,3,low,0,0,79.0,96,7,0.43,2,0.3966
finance,SSN,2275316,7793,lawsuit,US,132,medium,2,low,0,1,61.0,143,6,0.92,2,0.5267
finance,SSN,3697176,3262,breach,EU,218,medium,0,medium,0,1,68.0,13,7,0.5,1,0.5976
finance,credit_card,685029,1234,settement,India,161,high,2,low,0,1,53.0,177,4,0.77,1,0.5613
retail,credit_card,2802742,7719,breach,EU,357,low,0,high,0,0,64.0,112,9,0.72,1,0.4484
tech,SSN,3012786,6874,lawsuit,EU,88,medium,5,medium,0,0,65.0,57,5,0.58,2,0.545
healthcare,SSN,5355552,7971,breach,US,228,low,2,medium,0,1,76.0,156,9,0.43,1,0.6255
tech,credit_card,6440522,3072,settement,US,145,low,3,low,0,0,82.0,90,8,0.39,2,0.3733
healthcare,SSN,5786267,5841,breach,India,195,high,4,high,0,1,78.0,139,7,0.71,2,0.8017
retail,SSN,9353771,4869,settement,US,142,medium,4,high,0,1,96.0,161,3,0.17,2,0.7576
healthcare,password,2593316,1132,breach,US,229,medium,1,high,1,1,32.0,130,4,0.65,0,0.0
tech,email,4877709,3506,breach,EU,190,low,2,medium,0,1,44.0,175,5,0.58,0,0.0
healthcare,password,3513664,3763,settement,US,274,high,1,medium,1,1,37.0,145,6,0.74,1,0.7166
retail,SSN,8169326,9978,lawsuit,EU,166,low,4,low,0,0,90.0,8,10,0.49,2,0.3943
tech,email,1077941,2487,lawsuit,EU,185,medium,4,low,0,1,25.0,14,7,0.39,0,0.0
finance,SSN,5756892,1056,breach,EU,77,medium,4,medium,0,0,78.0,118,1,1.0,2,0.7235
retail,email,4158263,9623,settement,India,260,low,4,low,0,1,40.0,14,3,0.06,0,0.0
healthcare,email,2085504,5167,settement,US,148,low,1,high,0,0,30.0,86,2,0.85,0,0.0
healthcare,email,6700144,2020,lawsuit,India,114,low,3,high,0,1,53.0,157,5,0.04,0,0.0
retail,email,604103,1879,breach,EU,40,low,4,medium,0,0,23.0,145,2,0.61,0,0.0
healthcare,SSN,781641,8097,settement,EU,191,high,1,high,0,1,53.0,154,9,0.49,1,0.5234
retail,password,2465722,1757,breach,India,205,high,1,low,1,1,32.0,89,5,0.89,1,0.4689
retail,email,8003619,7878,breach,US,34,high,2,low,1,1,60.0,169,2,0.14,1,0.3425
retail,email,8211710,1438,settement,India,145,low,5,medium,0,1,61.0,117,1,0.54,0,0.0
healthcare,credit_card,1362303,7778,breach,US,37,high,2,high,0,0,56.0,16,10,0.18,1,0.2609
finance,email,292464,4062,breach,EU,264,low,3,low,0,1,21.0,110,9,0.47,0,0.0
retail,SSN,5419952,5141,lawsuit,EU,163,medium,4,high,0,1,77.0,5,3,0.88,2,0.8759
healthcare,credit_card,6088595,9070,lawsuit,US,286,low,0,medium,0,0,80.0,101,5,0.08,1,0.5091
finance,password,6217074,4070,settement,EU,265,high,4,high,0,1,51.0,57,10,0.08,1,0.7105
retail,password,4474014,1085,lawsuit,EU,310,medium,4,high,0,0,42.0,115,10,0.22,0,0.0
finance,password,3995528,1101,breach,EU,304,high,0,low,0,1,39.0,82,3,0.95,1,0.6127
finance,credit_card,8118654,1204,breach,EU,202,medium,1,low,0,0,90.0,72,3,0.07,1,0.3724
retail,credit_card,2415165,4689,lawsuit,EU,106,low,2,low,0,1,62.0,72,3,0.12,2,0.4587
healthcare,SSN,9796586,377,settement,US,201,medium,1,low,0,1,98.0,13,3,0.52,1,0.5464
healthcare,SSN,444945,470,breach,India,277,high,3,medium,0,1,52.0,88,10,0.97,1,0.7821
tech,SSN,7864426,734,settement,EU,54,low,4,medium,0,1,89.0,66,3,0.13,2,0.5462
healthcare,SSN,8832924,1778,breach,India,220,medium,3,medium,0,1,94.0,11,4,0.32,1,0.5547
tech,credit_card,9993154,2863,lawsuit,India,8,medium,5,medium,0,1,99.0,116,9,0.04,2,0.5569
tech,email,402067,9195,breach,EU,201,medium,3,high,0,0,22.0,74,5,0.26,0,0.0
healthcare,email,2663761,9114,lawsuit,US,268,low,1,medium,0,0,33.0,22,10,0.94,0,0.0
healthcare,SSN,6011334,4024,lawsuit,EU,62,high,2,low,0,1,80.0,41,6,0.59,2,0.6017
finance,SSN,2236883,5655,lawsuit,EU,251,low,2,high,0,0,61.0,174,10,0.71,1,0.3583
finance,credit_card,8593974,9765,breach,India,242,high,4,medium,1,1,92.0,177,7,0.99,2,0.5891
healthcare,SSN,9977844,6815,lawsuit,EU,211,medium,2,medium,0,1,99.0,165,4,0.48,1,0.6439
finance,password,5186773,1667,settement,US,214,medium,3,low,0,1,45.0,13,4,0.92,0,0.0
retail,email,442904,1995,breach,EU,190,high,3,medium,0,1,22.0,152,2,0.42,1,0.5705
tech,email,3760834,4921,breach,EU,190,low,1,high,1,1,38.0,53,1,0.13,0,0.0
tech,SSN,4860221,817,lawsuit,EU,96,medium,2,low,0,1,74.0,77,6,0.63,2,0.6109
tech,password,4538871,6619,settement,India,43,medium,1,medium,0,1,42.0,148,9,0.79,0,0.0
healthcare,SSN,8860690,489,breach,India,47,high,1,high,1,0,94.0,155,2,0.19,2,0.2561
finance,password,4810479,7801,breach,US,63,medium,4,medium,1,1,44.0,158,7,0.17,0,0.0
retail,credit_card,982883,6236,lawsuit,EU,302,high,4,low,1,1,54.0,121,7,0.03,1,0.3134
tech,SSN,8991884,1286,lawsuit,India,205,high,1,medium,1,0,94.0,147,1,0.12,2,0.3552
tech,password,6154973,6133,breach,EU,194,low,1,low,0,1,50.0,119,2,0.56,0,0.0
healthcare,password,1551184,1547,settement,India,138,low,2,low,1,0,27.0,155,3,0.24,0,0.0
healthcare,email,3933747,4578,lawsuit,EU,115,medium,3,low,0,0,39.0,64,5,0.41,0,0.0
finance,credit_card,864663,3886,settement,US,227,medium,4,high,0,0,54.0,137,10,0.18,0,0.0
finance,password,9615742,5768,lawsuit,US,217,high,5,high,0,0,68.0,23,9,0.9,1,0.771
tech,password,3736466,3172,settement,India,295,low,1,high,0,0,38.0,176,6,0.79,0,0.0
finance,credit_card,5971226,2687,lawsuit,India,287,high,4,high,1,0,79.0,86,2,0.95,2,0.6767
healthcare,email,5955075,4390,lawsuit,US,23,high,3,high,0,1,49.0,64,7,0.37,1,0.7362
finance,credit_card,4489198,2392,breach,India,334,medium,2,low,0,0,72.0,130,1,0.9,1,0.4808
tech,SSN,7021988,2317,breach,EU,79,low,5,low,0,1,85.0,92,8,0.26,2,0.4377
